"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
87145.4,64463,88596,25311.3,19106,86820.9,4546.41,6.503
108462,83676,84949,38321.2,29576,84914.1,5696.64,6.504
92704,64312,94468.3,40849.4,30600,87487.1,7972.26,6.526
96209.3,63261,99669.2,42501.9,26797,103945,2578.53,6.536
77164.2,53891,93838.2,27626.2,17767,101903,5880.18,6.546
103522,68408,99176,54529.3,36245,98596.6,4698.21,6.565
76462.7,52004,96359.2,56217.1,37056,99423.6,5941.59,6.583
96330.7,60634,104119,38221.2,24919,100520,8508.39,6.589
100119,73911,88773.9,32911.6,24095,89516.3,8483.55,6.603
104834,75981,90422.9,46710.9,34400,88989.8,5063.91,6.616
70454.7,50710,91053.5,37163.4,26638,91431.1,3638.37,6.69
109406,73439,97632.5,42552.3,26994,103308,2593.71,6.696
82284.7,57203,94271.5,22728.6,16463,90478.1,2998.74,6.731
139002,104179,87442.4,34867.8,26879,85014.1,2419.83,6.736
149702,94473,103848,82984.9,59812,90926.6,5521.38,6.775
75934.5,55022,90444.6,38237,26371,95024.9,2699.28,6.812
63562.8,41857,99521,30355.9,20789,95694.9,9117.66,6.822
56660.1,42491,87389.8,39164.4,28358,90509.9,8832.69,6.825
75221.7,51264,96163.5,25625.9,17760,94561.9,2772.42,6.861
100309,67563,97299.4,39142.3,27190,94344.7,2802.09,6.863
128618,94778,88935.2,25614.9,19459,86268.4,4210.38,6.882
95445.3,72971,85720.4,28142.3,22646,81442,5144.64,6.894
95991.3,58368,107780,46321.8,28148,107849,6985.56,6.895
82937.2,59820,90862.2,40873.5,30904,86677.7,2801.4,6.899
97065.5,61248,103861,24827.6,17044,95464.7,7483.05,6.907
72499.5,49967,95089.3,20940.1,14923,91960.8,2822.1,6.928
99401.4,68218,95493.4,31840.7,21955,95045.1,6230.01,6.928
73127.2,58802,81501.7,45219.1,36866,80385.2,2620.62,6.931
70006.7,47767,96048.7,27405.4,19803,90695.4,3461.04,6.937
77192.6,53139,95201.2,26634.7,17807,98025,9597.21,6.981
106599,80466,86819.9,29975,23442,83800,5717.34,6.994
96827.7,54939,115504,36301.6,22438,106028,9909.09,7.05
86017.2,58050,97109.8,41873.3,29478,93093.5,5397.18,7.094
83642.3,62157,88189.2,27654.5,21741,83361.7,4735.47,7.134
81282.2,55041,96780.8,44435.3,31013,93899.7,4502.94,7.147
179359,123559,95132.4,65520.3,44187,97176.6,8976.9,7.149
127621,94641,88373.7,40312.6,31301,84403.8,6690.24,7.175
94485.4,58927,105082,24267.3,15394,103312,3376.17,7.185
65346.3,47455,90244.1,26086.8,20018,85404.5,2266.65,7.229
75907.5,50806,97915.1,30767.1,21698,92928,6827.55,7.231
79630,55741,93622.9,24506.7,17529,91623.8,9152.16,7.254
70131.7,46708,98401.8,35043,25284,90831.4,5636.61,7.26
70428.4,49297,93628.4,19442.8,14641,87029.9,9526.14,7.264
73512,53911,89363.6,43342.4,35547,79907.9,4769.97,7.27
85469.1,61907,90479.3,26960.4,19547,90391.1,7558.95,7.279
77255.1,58791,86118.5,47878.4,40235,77985.8,4651.29,7.282
110167,80175,90052,50589.4,39247,84476,2364.63,7.296
81686.2,54082,98986.5,38711.1,28626,88624.6,4814.82,7.306
116277,87726,86864.9,21462.4,16211,86766,9392.28,7.316
65882.3,44173,97744.4,55091.7,36717,98332.9,4144.14,7.363
74453.4,51850,94105.7,28139.6,19955,92415.7,2450.88,7.369
145885,98826,96743,38328.8,26270,95619.2,5276.43,7.381
75599.4,49980,99129.3,30248.2,20808,95268.5,4406.34,7.386
77192.6,48768,103734,38625.5,24448,103541,6051.99,7.392
85432.9,51098,109572,36522.4,22403,106840,5480.67,7.4
77534.8,56373,90137.5,59665.7,42801,91358.8,4965.24,7.407
87724,59551,96540.5,38420.6,27986,89971.1,3903.33,7.419
106291,77934,89381.5,35799.3,27114,86528.8,5294.37,7.445
79850.1,61615,84931.6,23730.5,18690,83210.3,2402.58,7.461
90623,65094,91238.3,30960.3,21534,94223.8,2614.41,7.484
94202.8,70639,87397.5,22931.5,17794,84457.5,5364.75,7.491
81515.8,56670,94268.9,43434.8,31466,90464.1,5677.32,7.498
77397.8,61581,82368.6,11601,9597,79220.7,8428.35,7.51
88643.5,60422,96146.1,45182.6,29990,98735.8,6596.4,7.52
63815.5,38590,108376,27485.5,19607,91869.6,4044.78,7.539
81204.8,53406,99648.7,27971.9,18067,101465,2534.37,7.556
89215.8,62670,93295.7,27639.3,20595,87952,6016.8,7.559
