"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
130762,112253,76342.2,219314,199131,72178.4,17672.5,105380,0.516
138953,132732,68607.7,154530,142554,71041.6,25196.2,45822,0.516
178663,161316,72583.4,177856,163442,71315.6,17267.8,40588.1,0.516
148713,139858,69685.3,160159,147384,71216.4,11883,24808.1,0.517
169862,156060,71332.2,115789,105914,71646.1,42230.9,89605.6,0.517
137333,117814,76393.8,182408,166924,71615.1,20130.6,45427.1,0.518
132105,113005,76612.6,176581,151099,76588.4,63377.1,108178,0.519
132051,107305,80649.4,103616,96175,70606.6,36837.2,64573.1,0.519
120180,96817,81350.6,203879,182343,73276.4,22263,46498.9,0.52
140941,113121,81653.2,152761,138163,72460.3,20916.9,40563.8,0.522
130097,107132,79584.3,130171,116382,73300.6,37647.5,61328,0.522
119816,105277,74586.5,95162.3,85643,72820.4,46203.4,74786.9,0.524
100986,86316,76674.4,89123.3,80798,72288.7,15001.9,34071.8,0.524
151659,133524,74436.9,169960,156274,71275.6,20727,44431.8,0.524
95515.3,81361,76937.3,141448,133959,69200,10644.1,154743,0.525
120360,105057,75082.2,100164,92099,71274.9,25564.2,43857.6,0.525
147815,131381,73733.5,115726,105687,71761,19510.6,146714,0.526
114862,91404,82355.5,165995,145918,74553,41486.4,68835.3,0.526
135051,117596,75263.9,116174,109706,69399.9,11623.6,23798,0.527
177103,163605,70942.9,210106,179267,76810.2,18627.5,39103,0.527
165345,140010,77394.7,99305.8,91301,71281.9,26516.9,41949.7,0.528
141844,133564,69598.9,178369,161306,72468.5,10055.2,234227,0.529
166598,144846,75377.9,194149,172712,73670.2,17753.8,38109.5,0.53
99808,82659,79132.6,89456.5,83533,70183.3,15445.1,29620,0.53
194011,175072,72625.6,104191,95702,71349.2,10803.9,18283.1,0.531
116422,91160,83697.1,116178,102298,74428,19126.7,30963.3,0.531
108015,93429,75767.6,141851,127175,73098.9,10170.8,15058,0.535
117210,104615,73426.3,195247,174415,73363.7,10408.6,196902,0.536
171330,163618,68624.9,132640,122492,70965.2,11741.1,22262.4,0.536
104902,86268,79691.9,93747.6,84234,72937.8,18457.4,31186.9,0.538
198570,182283,71391.5,199500,178820,73115.2,24319.2,49555.2,0.538
124590,105756,77207,200577,178318,73716.6,15017.9,31619.3,0.54
117202,99185,77440.4,185783,166435,73154.7,21619.1,37697.1,0.54
191603,160197,78384,165048,141959,76195.4,58401.3,93843.4,0.54
