step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,2.126062088461861e-05,1.809920102165395e-05,2.745360608093294e-05,1.2574600213990175e-05,1.7215177464711397e-05,1.4030351104930114e-05,1.928908536313421e-05,1.5289825293334244e-05,2.5093527725315217e-05,1.5107734621762008e-05
ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,6.462385604806869e-05,4.425834456684768e-05,4.7715788469507634e-05,5.543947620686659e-05,2.7079633510088266e-05,2.5809771749556167e-05,4.8060364776622886e-05,4.744837521934699e-05,6.858469418985353e-05,4.513142221088571e-05
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,2.611690220879176e-05,5.020612836145614e-05,1.65495100259019e-05,2.5646192207508927e-05,3.2453989812599114e-05,2.9995369446867704e-05,2.102722785113721e-05,3.396393156063387e-05,2.400088790011428e-05,2.1595760135008878e-05
ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,3.301896803277001e-05,3.918602211118864e-05,2.736672597042267e-05,2.240832049432124e-05,3.2664636795209626e-05,3.1115310299657594e-05,2.3767519297009654e-05,2.9100472483878542e-05,3.746986559993581e-05,2.496679887889947e-05
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,6.194138906529816e-05,5.085019235215606e-05,3.9503094057745965e-05,3.188665739989284e-05,5.585837833691941e-05,4.810157151886916e-05,3.431451336218595e-05,3.8274697497473156e-05,5.726392129840621e-05,3.309062296499563e-05
ba1,ba1,ba1,ba1,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,9.145853470581899e-05,7.224664681876252e-05,7.565416531240238e-05,6.492815103911923e-05,6.524940644239707e-05,5.685744542984692e-05,8.9639372073647e-05,6.0697696822606335e-05,8.752748386190122e-05,5.7315223654388855e-05
ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,3.0218903604545366e-05,3.1943789231987864e-05,2.5815654102216407e-05,2.0706934235635092e-05,2.8452260432746852e-05,2.5737117657078315e-05,2.0459085977204433e-05,2.6472542115171303e-05,3.3007684779458334e-05,2.12155695016356e-05
wuhan,wuhan,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,5.979622157650584e-05,9.097103366497274e-05,3.4566760988167745e-05,5.886762432414475e-05,7.428084414283712e-05,7.229722143384415e-05,4.814460253481075e-05,6.8367816082349e-05,4.9294390281453205e-05,4.4275638930005704e-05
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,1.8646335841760486e-05,2.5421780887189773e-05,1.4217154111502427e-05,2.252147477053173e-05,1.2671207824393528e-05,1.0224750003378392e-05,1.8564464848583004e-05,2.519125932565229e-05,1.9967883876058783e-05,2.071142148232358e-05
wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,5.123198525290057e-05,7.805084710464102e-05,3.205011927475871e-05,4.32055726170915e-05,5.49190132424564e-05,5.5041311033274234e-05,4.555516049701102e-05,6.054234406506487e-05,4.0557803493073404e-05,3.621714198784888e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,4.726207567830652e-05,3.434048316028988e-05,2.9488981492293028e-05,4.70900745102897e-05,2.2306669355782413e-05,2.0295284912113987e-05,3.952348841117381e-05,3.447068837680118e-05,5.115081989580542e-05,3.911648855199496e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba4,ba4,ba4,2.3401081701288487e-05,2.7756410020824032e-05,1.802474121382908e-05,2.3624614723382802e-05,1.561432848697482e-05,1.2576382670967459e-05,2.209904828280338e-05,2.614258006323506e-05,2.1163371245976012e-05,2.2159440273372524e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,3.326250754531606e-05,2.358581204349426e-05,1.9619496761520282e-05,2.7409642890207396e-05,1.534589548949317e-05,1.2833018840364965e-05,2.8175750942798928e-05,2.358207253340333e-05,3.25259682018867e-05,2.395776996853659e-05
